dates,miles,DOW,month
Saturday January 02,2.85,Saturday,January
Monday January 04,2.83,Monday,January
Tuesday January 05,2.6,Tuesday,January
Wednesday January 06,3.23,Wednesday,January
Thursday January 07,2.94,Thursday,January
Friday January 08,3.83,Friday,January
Monday January 11,2.41,Monday,January
Tuesday January 12,3.61,Tuesday,January
Wednesday January 13,3.73,Wednesday,January
Thursday January 14,3.59,Thursday,January
Friday January 15,3.54,Friday,January
Monday January 18,2.45,Monday,January
Tuesday January 19,2.83,Tuesday,January
Wednesday January 20,4.17,Wednesday,January
Thursday January 21,3.8,Thursday,January
Friday January 22,4.99,Friday,January
Monday January 25,2.52,Monday,January
Tuesday January 26,3.89,Tuesday,January
Thursday January 28,4.01,Thursday,January
Friday January 29,4.63,Friday,January
Monday February 01,2.5,Monday,February
Tuesday February 02,4.47,Tuesday,February
Wednesday February 03,4.54,Wednesday,February
Thursday February 04,4.77,Thursday,February
Friday February 05,5.27,Friday,February
Monday February 08,2.92,Monday,February
Tuesday February 09,4.85,Tuesday,February
Wednesday February 10,4.67,Wednesday,February
Thursday February 11,4.77,Thursday,February
Monday February 15,4.39,Monday,February
Tuesday February 16,4.7,Tuesday,February
Wednesday February 17,6.03,Wednesday,February
Thursday February 18,4.54,Thursday,February
Monday February 22,2.82,Monday,February
Tuesday February 23,4.01,Tuesday,February
Wednesday February 24,5.15,Wednesday,February
Thursday February 25,3.33,Thursday,February
Friday February 26,5.38,Friday,February
Monday March 01,2.77,Monday,March
Tuesday March 02,4.74,Tuesday,March
Wednesday March 03,4.77,Wednesday,March
Friday March 05,2.79,Friday,March
Monday March 08,2.93,Monday,March
Tuesday March 09,5.14,Tuesday,March
Wednesday March 10,4.39,Wednesday,March
Thursday March 11,4.51,Thursday,March
Friday March 12,5.67,Friday,March
Monday March 15,2.71,Monday,March
Tuesday March 16,4.82,Tuesday,March
Wednesday March 17,4.11,Wednesday,March
Friday March 19,5.49,Friday,March
Monday March 22,2.96,Monday,March
Wednesday March 24,4.79,Wednesday,March
Thursday March 25,5.36,Thursday,March
Friday March 26,5.14,Friday,March
Monday March 29,3.0,Monday,March
Tuesday March 30,5.23,Tuesday,March
Thursday April 01,4.95,Thursday,April
Friday April 02,5.43,Friday,April
Monday April 05,2.98,Monday,April
Tuesday April 06,5.09,Tuesday,April
Wednesday April 07,4.42,Wednesday,April
Thursday April 08,3.1,Thursday,April
Friday April 09,5.3,Friday,April
Monday April 12,3.0,Monday,April
Tuesday April 13,4.35,Tuesday,April
Wednesday April 14,4.25,Wednesday,April
Thursday April 15,4.5,Thursday,April
Friday April 16,2.98,Friday,April
Monday April 19,3.0,Monday,April
Tuesday April 20,5.01,Tuesday,April
Friday April 23,3.09,Friday,April
Tuesday April 27,5.25,Tuesday,April
Wednesday April 28,5.22,Wednesday,April
Thursday April 29,4.54,Thursday,April
Friday April 30,6.04,Friday,April
Monday May 03,2.9,Monday,May
Tuesday May 04,5.3,Tuesday,May
Wednesday May 05,4.61,Wednesday,May
Thursday May 06,4.23,Thursday,May
Friday May 07,4.31,Friday,May
Monday May 10,3.03,Monday,May
Tuesday May 11,4.58,Tuesday,May
Thursday May 13,5.22,Thursday,May
Friday May 14,4.98,Friday,May
Monday May 17,3.75,Monday,May
Tuesday May 18,4.57,Tuesday,May
Friday May 21,4.81,Friday,May
Monday May 24,2.83,Monday,May
Tuesday May 25,5.1,Tuesday,May
Wednesday May 26,5.4,Wednesday,May
Friday May 28,5.19,Friday,May
Tuesday June 01,2.93,Tuesday,June
Wednesday June 02,5.23,Wednesday,June
Thursday June 03,5.23,Thursday,June
Friday June 04,5.4,Friday,June
Wednesday June 23,3.0,Wednesday,June
Thursday June 24,2.32,Thursday,June
Monday June 28,3.1,Monday,June
Friday June 25,2.48,Friday,June
Tuesday June 29,2.63,Tuesday,June
Monday July 05,3.65,Monday,July
Monday July 12,2.35,Monday,July
Tuesday July 13,1.95,Tuesday,July
Friday July 16,5.01,Friday,July
Tuesday July 20,2.15,Tuesday,July
